Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0244122055182017	
Error Kobs	0.000543305785284273	
Koff	0.013539325110722	
Error Koff	0.00013834575812609	
Time1	Data1	Fit1	
613.62	0.16798392	0.17839973	
613.82	0.16820368	0.17842335	
614.02	0.16800557	0.17844686	
614.22	0.16838066	0.17847025	
614.42	0.16876642	0.17849354	
614.62	0.16886657	0.1785167	
614.82	0.16976979	0.17853976	
615.02	0.17025718	0.1785627	
615.22	0.17048087	0.17858553	
615.42	0.17064545	0.17860825	
615.62	0.17047678	0.17863086	
615.82	0.17024724	0.17865336	
616.02	0.17107284	0.17867575	
616.22	0.1707187	0.17869803	
616.42	0.1706628	0.1787202	
616.62	0.17067688	0.17874226	
616.82	0.1704646	0.17876422	
617.02	0.17028864	0.17878607	
617.22	0.17078995	0.17880781	
617.42	0.17008956	0.17882945	
617.62	0.16935143	0.17885098	
617.82	0.16986216	0.1788724	
618.02	0.16952397	0.17889373	
618.22	0.1690207	0.17891495	
618.42	0.16928172	0.17893606	
618.62	0.17005603	0.17895707	
618.82	0.16995994	0.17897798	
619.02	0.17035148	0.17899879	
619.22	0.17093786	0.1790195	
619.42	0.17091958	0.1790401	
619.62	0.17101603	0.17906061	
619.82	0.17155358	0.17908101	
620.02	0.17131	0.17910132	
620.22	0.17084561	0.17912153	
620.42	0.17114162	0.17914164	
620.62	0.17089961	0.17916165	
620.82	0.1707028	0.17918156	
621.02	0.1711507	0.17920138	
621.22	0.17144053	0.1792211	
621.42	0.17129996	0.17924072	
621.62	0.17157014	0.17926025	
621.82	0.17190664	0.17927968	
622.02	0.17166832	0.17929902	
622.22	0.17195538	0.17931827	
622.42	0.17223122	0.17933742	
622.62	0.17173822	0.17935647	
622.82	0.17217408	0.17937544	
623.02	0.17298581	0.17939431	
623.22	0.17309568	0.17941309	
623.42	0.17275677	0.17943178	
623.62	0.17271067	0.17945038	
623.82	0.17255783	0.17946888	
624.02	0.17238787	0.1794873	
624.22	0.17217481	0.17950563	
624.42	0.17216662	0.17952387	
624.62	0.17180837	0.17954202	
624.82	0.17196237	0.17956008	
625.02	0.17217476	0.17957805	
625.22	0.17226455	0.17959594	
625.42	0.17258398	0.17961373	
625.62	0.17265743	0.17963144	
625.82	0.17330807	0.17964907	
626.02	0.17359375	0.17966661	
626.22	0.17338413	0.17968406	
626.42	0.17314661	0.17970143	
626.62	0.17373947	0.17971872	
626.82	0.17429317	0.17973592	
627.02	0.17459366	0.17975303	
627.22	0.17466906	0.17977007	
627.42	0.17492326	0.17978702	
627.62	0.17464087	0.17980388	
627.82	0.17450768	0.17982067	
628.02	0.17436002	0.17983737	
628.22	0.17391505	0.179854	
628.42	0.17344345	0.17987054	
628.62	0.17322344	0.179887	
628.82	0.17293502	0.17990338	
629.02	0.17255462	0.17991968	
629.22	0.17267542	0.1799359	
629.42	0.17261425	0.17995204	
629.62	0.1729787	0.17996811	
629.82	0.1729464	0.17998409	
630.02	0.17196334	0.18	
630.22	0.17223789	0.18001583	
630.42	0.17228256	0.18003158	
630.62	0.17272187	0.18004726	
630.82	0.17250095	0.18006286	
631.02	0.17312098	0.18007838	
631.22	0.17337229	0.18009383	
631.42	0.17345228	0.18010921	
631.62	0.17335987	0.1801245	
631.82	0.17369015	0.18013973	
632.02	0.1740477	0.18015488	
632.22	0.17439486	0.18016995	
632.42	0.17379585	0.18018496	
632.62	0.17395348	0.18019989	
632.82	0.17431787	0.18021474	
633.02	0.17391671	0.18022953	
633.22	0.17371509	0.18024424	
633.42	0.17338953	0.18025888	
633.62	0.17337652	0.18027345	
633.82	0.17232601	0.18028795	
634.02	0.17255364	0.18030238	
634.22	0.17295195	0.18031673	
634.42	0.17185254	0.18033102	
634.62	0.17178188	0.18034524	
634.82	0.17150353	0.18035939	
635.02	0.17163056	0.18037347	
635.22	0.17170529	0.18038748	
635.42	0.17184683	0.18040142	
635.62	0.17201169	0.1804153	
635.82	0.17231132	0.1804291	
636.02	0.17271312	0.18044284	
636.22	0.17277712	0.18045652	
636.42	0.17308654	0.18047012	
636.62	0.17411076	0.18048366	
636.82	0.17455036	0.18049714	
637.02	0.17468082	0.18051055	
637.22	0.17479913	0.18052389	
637.42	0.17460031	0.18053717	
637.62	0.17429879	0.18055038	
637.82	0.17433486	0.18056353	
638.02	0.17477304	0.18057662	
638.22	0.17415131	0.18058964	
638.42	0.17402858	0.1806026	
